詞目id,漢字,羅馬字
,下昏,i̋ng
,下昏暗,ing-àm
,今仔,ta̋nn
,予伊,hōo
,早起時仔,tsái-sî-á
,佗位,tuē
,佗位,tueh
,來去,laih
,來去,la̋i
,亞鉛鉼,ân-phiánn
,亞鉛鉼,iân-phiánn
,亞鉛線,ân-suànn
,亞鉛線,iân-suànn
,拍毋見,phàng-kiàn
,拍毋見,phàng-kìnn
,昨昏,tsa̋ng
,查某𡢃,tsőo-kán
,查某𡢃,tsa̋u-kán
,查某𡢃,tsa̋-kán
,查某人,tsőo-lâng
,查某人,tsa̋u-lâng
,查某人,tsa̋-lâng
,查某囝,tsőo-kiánn
,查某囝,tsa̋u-kiánn
,查某囝,tsa̋-kiánn
,查某囡仔,tsőo gín-á
,查某囡仔,tsa̋u gín-á
,查某囡仔,tsa̋ gín-á
,查某孫,tsőo-sun
,查某孫,tsa̋u-sun
,查某孫,tsa̋-sun
,查某間,tsőo-king
,查某間,tsa̋u-king
,查某間,tsa̋-king
,差不多,tsha̋u-to
,差不多,tsha̋u
,啥人,siáng
,啥人,siâng
,就按呢,tsua̋n-ne/tsua̋n-ni
,就按呢,tsua̋n
,無要緊,bua̋-kín
,無愛,buaih
,嫁查某囝,kè tsa̋u-kiánn
,落去,lueh
,爾爾,niâ
,孤查某囝,koo-tsa̋u-kiánn
,曷有一个,a̍h-tsê
,曷有一个,āu-tsê
