漢字,羅馬字,建議順序,類型
九,kiú,,文
九,káu,,白
八,pat,,文
八,peh,,白
八,pueh,,白
力,li̍k,,文
力,la̍t,,白
十,si̍p,,文
十,tsa̍p,,白
三,sam,,文
三,sann,,白
上,siōng,,文
上,siāng,,文
上,tsiūnn,,白
上,tsiōnn,,白
下,hā,,文
下,ē,,白
千,tshian,,文
千,tshing,,白
于,û,,甘
于,î,,甘
于,u,,甘
于,i,,甘
大,tāi,,文
大,tuā,,白
女,lú,,文
女,lí,,文
子,tsú,,文
子,tsí,,白
小,sió,,白
小,siáu,,文
山,san,,文
山,suann,,白
工,kong,,文
工,kang,,白
己,kí,,文
中,tiong,,文
中,tiòng,,文
中,tìng,,白
五,ngóo,,文
五,gōo,,白
內,luē,,文
內,lāi,,訓
公,kong,,文
公,kang,,白
六,lio̍k,,文
六,la̍k,,白
分,hun,,文
分,pun,,白
升,sing,,文
升,tsin,,白
午,ngóo,,文
午,gōo,,白
反,huán,,文
反,píng,,白
反,páinn,,白
反,puínn,,白
天,thian,,文
天,thinn,,白
方,hong,,文
方,hng,,白
月,gua̍t,,文
月,gue̍h,,白
月,ge̍h,,白
木,bo̍k,,文
木,ba̍k,,白
毛,môo,,文
毛,mn̂g,,白
水,tsuí,,白
水,suí,,文
牙,gâ,,文
牙,gê,,白
世,sè,,文
世,sì,,白
代,tāi,,文
代,tē,,白
功,kong,,文
功,kang,,白
加,ka,,文
加,ke,,白
半,puàn,,文
半,puànn,,白
可,khó,,文
可,khónn,,文
可,khuá,,白
四,sù,,文
四,sì,,白
央,iong,,文
央,iang,,文
央,ng,,白
平,pîng,,文
平,pênn,,白
平,pînn,,白
未,bī,,文
未,buē,,白
未,bē,,白
本,pún,,文
本,pńg,,白
正,tsìng,,文
正,tsiànn,,白
母,bió,,文
母,bóo,,文
母,bú,,白
母,bó,,白
玉,gio̍k,,文
玉,gi̍k,,白
生,sing,,文
生,tshenn,,白
生,tshinn,,白
生,senn,,白
生,sinn,,白
用,iōng,,文
用,īng,,白
白,pi̍k,,文
白,pe̍h,,白
皮,phî,,文
皮,phuê,,白
皮,phê,,白
目,bo̍k,,文
目,ba̍k,,白
石,tsio̍h,,白
石,si̍k,,文
先,sian,,文
先,sing,,白
光,kong,,文
光,kng,,白
光,kuinn,,白
全,tsuân,,文
全,tsn̂g,,白
全,tsuînn,,白
共,kiōng,,文
共,kāng,,白
合,ha̍p,,文
合,ha̍h,,白
同,tông,,文
同,tâng,,白
名,bîng,,文
名,miâ,,白
向,hiòng,,文
向,hiàng,,文
向,ǹg,,白
地,tē,,文
地,tuē,,白
好,hó,,白
好,hónn,,文
好,hònn,,文
守,siú,,文
守,tsiú,,白
安,an,,文
安,uann,,白
帆,huân,,文
帆,phâng,,白
年,nî,,白
年,liân,,文
成,sîng,,文
成,tsiânn,,白
成,siânn,,白
有,iú,,文
有,ū,,白
死,sú,,文
死,sí,,白
老,nóo,,文
老,ló,,文
老,lóo,,文
老,láu,,文
老,lāu,,白
耳,ní,,文
耳,hīnn,,白
耳,hī,,白
肉,jio̍k,,文
肉,lio̍k,,文
肉,hi̍k,,白
艾,ngāi,,文
艾,gāi,,文
艾,hiānn,,白
血,hiat,,文
血,hueh,,白
血,huih,,白
衣,i,,文
衣,ui,,白
西,se,,文
西,sai,,白
串,tshuàn,,文
串,tshǹg,,白
串,tshuìnn,,白
伸,sin,,文
伸,tshun,,白
何,hô,,文
何,hôo,,文
何,uâ,,白
佛,hu̍t,,文
佛,pu̍t,,白
作,tsok,,文
作,tsoh,,白
兌,tuē,,文
兌,tuī,,白
別,pia̍t,,文
別,pa̍t,,白
別,piat,,文
利,lī,,文
利,lāi,,白
孝,hàu,,文
孝,hà,,白
序,sū,,文
序,sī,,文
弟,tī,,白
弟,tē,,文
忍,jím,,文
忍,lím,,文
忍,gím,,文
忍,lún,,白
我,ngóo,,文
我,guá,,白
扭,liú,,文
扭,ngiú,,文
扭,niú,,文
扭,láu,,白
扶,hû,,文
扶,phôo,,白
折,tsiat,,文
折,tsi̍h,,白
旱,hān,,文
旱,huānn,,白
旱,uānn,,白
沉,tîm,,文
沉,tiâm,,白
私,su,,文
私,sai,,白
私,si,,白
肝,kan,,文
肝,kuann,,白
見,kiàn,,文
見,kìnn,,白
並,pīng,,文
並,phīng,,白
事,sū,,文
事,tāi,,白
佮,kap,,文
佮,kah,,白
使,sú,,文
使,sù,,文
使,sái,,白
使,sài,,白
兩,lióng,,文
兩,liáng,,文
兩,niú,,白
兩,nn̄g,,白
兩,nōo,,白
初,tshoo,,文
初,tshe,,白
初,tshue,,白
券,kuàn,,文
券,kǹg,,白
券,kuìnn,,白
卷,kuàn,,文
卷,kuán,,文
卷,kǹg,,白
卷,kńg,,白
卷,kuìnn,,白
卷,kuínn,,白
呼,hoo,,文
呼,khoo,,白
命,bīng,,文
命,miā,,白
和,hô,,文
和,hôo,,文
和,hō,,文
和,hōo,,文
和,huê,,白
和,hê,,白
奇,kî,,文
奇,ki,,文
奇,khia,,白
奇,kha,,白
姓,sìng,,文
姓,sènn,,白
姓,sìnn,,白
官,kuan,,文
官,kuann,,白
定,tīng,,文
定,tiānn,,白
庚,kenn,,白
庚,kinn,,白
庚,king,,文
往,óng,,文
往,íng,,白
性,sìng,,文
性,sènn,,白
性,sìnn,,白
怪,kuài,,文
怪,kuè,,白
房,pông,,文
房,pâng,,白
承,sîng,,文
承,sîn,,白
拋,phau,,文
拋,pha,,白
拍,phik,,文
拍,phah,,白
招,tsio,,白
招,tsiau,,文
放,hòng,,文
放,pàng,,白
東,tong,,文
東,tang,,白
林,lîm,,文
林,nâ,,白
果,kó,,文
果,kóo,,文
果,kué,,白
果,ké,,白
泡,phàu,,文
泡,phò,,白
注,tsù,,文
注,tù,,白
物,bu̍t,,文
物,mi̍h,,白
物,mn̍gh,,白
知,ti,,文
知,tsai,,白
花,hua,,文
花,hue,,白
表,piáu,,文
表,pió,,白
長,tiông,,文
長,tióng,,文
長,tiâng,,文
長,tiáng,,文
長,tn̂g,,白
長,tiúnn,,白
長,tiónn,,白
門,bûn,,文
門,mn̂g,,白
門,muî,,白
雨,ú,,文
雨,í,,文
雨,hōo,,白
青,tshing,,文
青,tshenn,,白
青,tshinn,,白
便,piān,,文
便,piân,,文
便,pân,,白
前,tsiân,,文
前,tsîng,,白
前,tsâinn,,白
垂,suî,,文
垂,suê,,白
城,siânn,,白
城,sîng,,文
封,hong,,文
封,pang,,白
待,thāi,,文
待,tāi,,白
思,su,,文
思,sù,,文
思,si,,白
恨,hūn,,文
恨,hīn,,文
指,tsí,,文
指,kí,,白
星,sing,,文
星,tshenn,,白
星,tshinn,,白
枴,kuái,,文
枴,kuáinn,,白
染,jiám,,文
染,liám,,文
染,giám,,文
染,ní,,白
毒,to̍k,,文
毒,thāu,,白
泉,tsuânn,,白
泉,tsuân,,文
流,liû,,文
