義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。,,規半晡,大半天、老半天，指一天當中的一段長時間。
,一睏仔,一陣子、一會兒。,,規半晡,大半天、老半天，指一天當中的一段長時間。
,一霎仔久,一瞬間、一下子。形容很短的時間。,,規半晡,大半天、老半天，指一天當中的一段長時間。
,一觸久仔,一會兒、一下子。,,規半晡,大半天、老半天，指一天當中的一段長時間。
,入,進。從外面進到裡面。,,退,離開。
,刁工,故意。,,無張持,不小心。沒注意到。
,刁工,故意。,,無細膩,不小心。
,二手,副手、助手、助理。技術工作中的助手、協助處理事務的人。,,師傅,稱懷有專門技藝的人。
,二手,副手、助手、助理。技術工作中的助手、協助處理事務的人。,,頭手,一個單位的最高負責人，如領班等。
,了本,蝕本、虧本。,,省本,節省成本。
,七早八早,一大清早。,,三更半暝,三更半夜；深夜。
,七早八早,形容時間還早。,,七晏八晏,很晚、很遲。
,入門,進門。,,出門,離家外出。
,人客,客人、賓客、顧客。,,主人,擺設宴席款待賓客的人。
,刁持,故意、存心。,,無張持,不小心。沒注意到。
,刁持,故意、存心。,,無細膩,不小心。
,刁故意,存心、故意。,,無細膩,不小心。
,刁故意,存心、故意。,,無意中,意外、無意間。
,人造,由人工製造而成的。,,天然,自然形成、天生的，不是人為的。
,人造,由人工製造而成的。,,自然,天然，沒有經過人為加工的。
,刁意故,故意、存心。,,無張持,不小心。沒注意到。
,刁意故,故意、存心。,,無細膩,不小心。
,入學,開始進入學校學習、求學。,,退學,學生因為嚴重違反校規或是不及格的科目達到一定比例，而被學校當局勒令不得繼續在校就讀。
,了錢,賠錢、虧本。,,趁錢,賺錢。
,了錢,賠錢、虧本。,,省本,節省成本。
,下,指空間位置「上」的相反。,,頂,物品的上方。
,大,指在體積、面積、深度、數量、強度等方面超過一般，或超過所比較的對象。,,小,細微，是「大」的相反。
,大,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。,,小,細微，是「大」的相反。
,大,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。,,小,細微，是「大」的相反。
,大,最年長的、排行第一的。,,小,年紀、輩份比較低的。
,女,女性、女子。,,男,指男性。與女相對。
,女,女性、女子。,,男子,男人。
,小,細微，是「大」的相反。,,大,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。
,小,細微，是「大」的相反。,,大,指在體積、面積、深度、數量、強度等方面超過一般，或超過所比較的對象。
,小,細微，是「大」的相反。,,大,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。
,小,年紀、輩份比較低的。,,大,最年長的、排行第一的。
,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,,正經,正派，謹守規矩。
,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,,大端,大方、賢淑、端莊。
,小人,品德操守低下，人格卑劣的人。,,君子,才德出眾、品格高尚的人。
,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,,正經,正派，謹守規矩。
,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,,大端,大方、賢淑、端莊。
,上久,最久。,,上緊,最快。
,小口,飯量少、食量小。,,大食,指食量很大。
,下勻,後輩、晚輩。,,頂勻,上輩。上一輩、上一代。
,下勻,後輩、晚輩。,,尊長,長輩。
,上午,清晨到中午之間。,,下午,中午過後的時間，指中午十二點到黃昏前的一段時間。
,上午,清晨到中午之間。,,下晡,下午。
,下午,中午過後的時間，指中午十二點到黃昏前的一段時間。,,上午,清晨到中午之間。
,下午,中午過後的時間，指中午十二點到黃昏前的一段時間。,,早起,早上、早晨。
,下午,中午過後的時間，指中午十二點到黃昏前的一段時間。,,頂晡,早上、上午。
,大方,慷慨不小氣。,,凍霜,形容一個人吝嗇、小氣，過分節省。
,大方,慷慨不小氣。,,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。
,大方,舉止得體合宜、不矯飾，有大家風範。,,閉思,個性內向、害羞，靦腆的樣子。
,大方,舉止得體合宜、不矯飾，有大家風範。,,畏羞人,害羞、靦腆。
,大日,吉日。指適合婚喪嫁娶的好日子。,,歹日,凶日。在黃曆上有諸多禁忌的日子。
,大月,國曆三十一天或者農曆三十天的月分。,,小月,農曆之中，只有二十九天的月份。
,大月,指生意的旺季。,,小月,生意清淡的月份。
,小心,注意、留意。,,生狂,做事慌慌張張的樣子。
,小心,注意、留意。,,脫線,罵人個性散漫，做事不積極，如同衣服的縫線脫落一樣。
,小心,注意、留意。,,無細膩,不小心。
,小心,注意、留意。,,趕狂,急忙、倉皇、慌慌張張。
,小月,農曆之中，只有二十九天的月份。,,大月,國曆三十一天或者農曆三十天的月分。
,小月,生意清淡的月份。,,大月,指生意的旺季。
