義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,一,全部的、整個的。,,全,所有、整個。
,一,全部的、整個的。,,規,整個。完全的，全部的。
,一,數字。,,么,最小的數字，「一」的另一種稱呼。
,一下,動詞後綴。表示極短的時間或是短時間的動作。,,一下仔,一下子、一會兒。表示極短的時間。
,一日到暗,一天到晚、從早到晚，整天。,,規工,一整天、成天。
,一世人,一輩子。,,一生,畢生、一輩子。
,一世人,一輩子。,,規世人,一生、一輩子。
,一世人,一輩子。,,透世人,一輩子、一生。
,一四界,遍地、到處。,,大四界,到處、每個地方。
,一四界,遍地、到處。,,滿四界,處處、遍地。到處都是。
,一四界,遍地、到處。,,滿滿是,到處、處處。
,一四界,遍地、到處。,,規山坪,滿山遍野。
,一四界,遍地、到處。,,規山坪,比喻到處都是。
,一生,畢生、一輩子。,,一世人,一輩子。
,一生,畢生、一輩子。,,規世人,一生、一輩子。
,一生,畢生、一輩子。,,透世人,一輩子、一生。
,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。,,一睏仔,一陣子、一會兒。
,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。,,一霎仔久,一瞬間、一下子。形容很短的時間。
,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。,,一下仔,一下子、一會兒。表示極短的時間。
,一定,必定、必然。,,包穩,一定。表示有絕對的把握可以完成事情。
,一定,必定、必然。,,必然,確定不移。
,一直,持續不間斷。,,直,一直、沒有間隔的。多用重疊。
,一直,持續不間斷。,,硞硞,連續不斷地重複某一動作的樣子。
,一律,全部都一樣。,,一概,一律、完全。
,一致,趨向相同。,,一概,一律、完全。
,一屑仔,一點點。形容體積很小或數量很少。,,一寡仔,一點點、一些些。
,一屑仔,一點點。形容體積很小或數量很少。,,一點仔,一點兒、一 點點。形容數量極少。
,一屑仔,一點點。形容體積很小或數量很少。,,一疕仔,一小片、一點點。形容微不足道，帶有貶義。
,一屑仔,一點點。形容體積很小或數量很少。,,分分仔,一點兒。
,一家伙仔,一家子。全家人、同一家人。,,規家伙仔,全家人。
,一睏仔,一陣子、一會兒。,,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。
,一睏仔,一陣子、一會兒。,,一時仔,一下子。一段不長的時間。
,一睏仔,一陣子、一會兒。,,一下仔,一下子、一會兒。表示極短的時間。
,一概,一律、完全。,,一律,全部都一樣。
,一概,一律、完全。,,一致,趨向相同。
,一寡,一些、少許，也可以單說「寡」(--kuá)。,,一點仔,一點兒、一 點點。形容數量極少。
,一寡仔,一點點、一些些。,,一屑仔,一點點。形容體積很小或數量很少。
,一寡仔,一點點、一些些。,,一點仔,一點兒、一 點點。形容數量極少。
,一寡仔,一點點、一些些。,,淡薄仔,一點點。微量的、些微的。
,一寡仔,一點點、一些些。,,一疕仔,一小片、一點點。形容微不足道，帶有貶義。
,一寡仔,一點點、一些些。,,分分仔,一點兒。
,一霎仔久,一瞬間、一下子。形容很短的時間。,,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。
,一霎仔久,一瞬間、一下子。形容很短的時間。,,一下仔,一下子、一會兒。表示極短的時間。
,一點仔,一點兒、一 點點。形容數量極少。,,一屑仔,一點點。形容體積很小或數量很少。
,一點仔,一點兒、一 點點。形容數量極少。,,一寡,一些、少許，也可以單說「寡」(--kuá)。
,一點仔,一點兒、一 點點。形容數量極少。,,一寡仔,一點點、一些些。
,一點仔,一點兒、一 點點。形容數量極少。,,一疕仔,一小片、一點點。形容微不足道，帶有貶義。
,一點仔,一點兒、一 點點。形容數量極少。,,分分仔,一點兒。
,一觸久仔,一會兒、一下子。,,一下仔,一下子、一會兒。表示極短的時間。
,了,表示動作結束、完畢。或是表示動作的時間狀況。,,了了,光光、窮盡、完全沒有了。當作動詞補語。
,了,表示動作結束、完畢。或是表示動作的時間狀況。,,好,表示完成、結束。
,了,表示動作結束、完畢。或是表示動作的時間狀況。,,完,完畢、結束、沒有剩餘。
,了,表示動作結束、完畢。或是表示動作的時間狀況。,,透,完結、完畢。
,刀,供切、削、剪、刻、割、斬等用途的工具。,,刀仔,小刀。
,刁,刁難、為難。,,刁古董,刻意作弄、為難別人。
,刁,刁難、為難。,,刁難,故意為難。
,刁,刁難、為難。,,欹,刻意刁難或為難人家。
,力,力量、氣力。,,氣力,力氣、力量。
,又,再、復。,,閣,又、再、還。
,十一哥,單身漢。,,羅漢跤仔,無家可歸的流浪漢。
,了了,光光、窮盡、完全沒有了。當作動詞補語。,,了,表示動作結束、完畢。或是表示動作的時間狀況。
,十二分,非常、很。用來形容程度極深。,,足,非常、很、十分。也可唸作tsok。
,十二分,非常、很。用來形容程度極深。,,誠,很、非常。
,十八骰仔,骰子。一種遊戲或賭博用的小方塊。六面分別刻上一、二、三、四、五、六點，一、四漆紅色，其餘為黑色。,,骰仔,骰子。一種遊戲或賭博用的小方塊。六面分別刻上一、二、三、四、五、六點，一、四漆紅色，其餘為黑色。
,七夕,農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Tshit-niû-má-senn)，臺南還有「做十六歲」(tsò tsa̍p-la̍k huè)的習俗。,,七娘媽生,農曆七月初七。七星娘娘誕辰。「七娘媽」就是七星娘娘，傳說是孩童的保護神。以前農業社會醫藥不發達，孩子常夭折或生病，所以人們會祈求「七娘媽」保佑小孩平安長大，因此等到孩童十六歲(舊時十六歲即成年)七月初七當天，便舉行祭祀以酬謝「七娘媽」。
,了工,白費工夫。,,無彩工,徒勞無功、白費工夫、枉費工夫。
,人工,人力、人手。人的勞動力或是指可以工作的人。,,跤手,人手。提供幫助的人力。
,刁工,專程、特地。,,刁持,特地、特意。
,刁工,專程、特地。,,專工,特地、專程。
,刁工,故意。,,刁故意,存心、故意。
,刁工,故意。,,刁意故,故意、存心。
,刁工,故意。,,存心,心懷某種意念、居心。
,二手,副手、助手、助理。技術工作中的助手、協助處理事務的人。,,副手,助手。協助處理事務的人。
,二手,中古貨。已經使用過，又再出售的貨品。,,中古,半新不舊。
,入木,入殮。把死者放進棺木中。,,入殮,將亡者的遺體放入棺木中。
,刀仔,小刀。,,刀,供切、削、剪、刻、割、斬等用途的工具。
,刁古董,刻意作弄、為難別人。,,刁,刁難、為難。
,刁古董,刻意作弄、為難別人。,,刁難,故意為難。
,刁古董,刻意作弄、為難別人。,,欹,刻意刁難或為難人家。
,了本,蝕本、虧本。,,塌本,倒貼、虧本、賠本。未得到應得的利益，反而還要出錢。
,了本,蝕本、虧本。,,塌錢,貼錢。賠補不夠的錢。
,人民,百姓、國民。居住在一國家內具有應享權利與應盡義務的人。,,公民,凡年滿二十歲，在某一行政區域內連續居住六個月以上，沒有被褫奪公權，或受禁治產宣告的居民。
,人民,百姓、國民。居住在一國家內具有應享權利與應盡義務的人。,,民眾,泛指一般人民。
,十全,完滿、齊全。完美無缺憾。,,完全,完整齊全，一點也不差。
,十全,完滿、齊全。完美無缺憾。,,齊全,詳盡、完備。
,十全,完滿、齊全。完美無缺憾。,,加圇,完整的；全部的。
,十全,完美、齊全。完美無缺憾。,,加圇,完整的；全部的。
,八字,中國傳統命相學家，用人出生的年、月、日、時，以天干、地支配合成八個字，來推斷一生的命運。,,生時日月,生辰八字。出生時候的年、月、日、時；時常被拿來斷定一個人的命運。
,七早八早,一大清早。,,透早,大清早、七早八早。
,二步七仔,本事、本領。形容人對事情有一點處理的本事、能力。,,才調,本事、能力。
,二步七仔,本事、本領。形容人對事情有一點處理的本事、能力。,,本事,才幹、才能。
,二步七仔,本事、本領。形容人對事情有一點處理的本事、能力。,,本等,本領、本事。
,人客,客人、賓客、顧客。,,客戶,指商業行為上的消費者或買方。
,人客,客人、賓客、顧客。,,顧客,到商店購買東西的人。
,二指,食指。,,指指,食指。第二個手指頭。
,刁持,故意、存心。,,刁故意,存心、故意。
