華語詞目id,華語詞目,腔,漢字,羅馬字
,醫院,鹿港偏泉腔,病院,pǐnn-ǐnn
,醫院,鹿港偏泉腔,醫生館,i-sing-kuán
,醫院,三峽偏泉腔,病院,pīnn-īnn
,醫院,三峽偏泉腔,醫生館,i-sing-kuán
,醫院,臺北偏泉腔,病院,pīnn-īnn
,醫院,臺北偏泉腔,醫生館,i-sing-kuán
,醫院,宜蘭偏漳腔,病院,pēnn-īnn
,醫院,宜蘭偏漳腔,醫生館,i-sing-kuán
,醫院,臺南混合腔,病院,pēnn-īnn
,醫院,臺南混合腔,醫生館,i-sing-kuán
,醫院,高雄混合腔,病院,pēnn-īnn
,醫院,高雄混合腔,醫生館,i-sing-kuán
,醫院,金門偏泉腔,醫院,i-īnn
,醫院,馬公偏泉腔,醫生館,i-sing-kuán
,醫院,馬公偏泉腔,病院,pīnn-īnn
,醫院,新竹偏泉腔,病院,pīnn-ìnn
,醫院,臺中偏漳腔,病院,pēnn-ìnn
,醫院,臺中偏漳腔,醫生館,i-sing-kuán
,看醫生,臺北偏泉腔,予醫生看,hōo i-sing khuànn
,看醫生,宜蘭偏漳腔,予醫生看,hōo i-sing khuànn
,看醫生,臺南混合腔,予醫生看,hōo i-sing khuànn
,看醫生,高雄混合腔,予醫生看,hōo i-sing khuànn
,看醫生,鹿港偏泉腔,看醫生,khuànn-i-sing
,看醫生,三峽偏泉腔,看醫生,khuànn-i-sing
,看醫生,臺北偏泉腔,看醫生,khuànn-i-sing
,看醫生,宜蘭偏漳腔,看醫生,khuànn-i-sing
,看醫生,臺南混合腔,看醫生,khuànn-i-sing
,看醫生,高雄混合腔,看醫生,khuànn-i-sing
,看醫生,金門偏泉腔,予醫生看,hōo i-sing khuànn
,看醫生,馬公偏泉腔,看醫生,khuànn-i-sing
,看醫生,馬公偏泉腔,揣醫生,tshē-i-sing
,看醫生,新竹偏泉腔,看醫生,khuànn-i-sing
,看醫生,臺中偏漳腔,看醫生,khuànn-i-sing
,看醫生,新竹偏泉腔,予醫生看,hōo i-sing khuànn
,把脈,鹿港偏泉腔,𥌚脈,bāi-be̍h
,把脈,鹿港偏泉腔,節脈,tsat-be̍h
,把脈,三峽偏泉腔,節脈,tsat-bē
,把脈,臺北偏泉腔,節脈,tsat-me̍h
,把脈,宜蘭偏漳腔,節脈,tsat-mē
,把脈,臺南混合腔,節脈,tsat-me̍h
,把脈,臺南混合腔,摸脈,bong-me̍h
,把脈,高雄混合腔,節脈,tsat-me̍h
,把脈,高雄混合腔,候脈,hāu-me̍h
,把脈,金門偏泉腔,候脈,hāu-be̍h
,把脈,金門偏泉腔,掠脈,lia̍h-be̍h
,把脈,金門偏泉腔,𥌚脈,bāi-be̍h
,把脈,金門偏泉腔,扞脈,huānn-be̍h
,把脈,馬公偏泉腔,候脈,hāu-me̍h
,把脈,馬公偏泉腔,節脈,tsat-me̍h
,把脈,馬公偏泉腔,𥌚脈,bāi-me̍h
,把脈,新竹偏泉腔,節脈,tsat-be̍h
,把脈,臺中偏漳腔,節脈,tsat-meh
,注射,鹿港偏泉腔,注射,tsù-siǎ
,注射,鹿港偏泉腔,注射,tsù-siā
,注射,三峽偏泉腔,注射,tsù-siā
,注射,臺北偏泉腔,注射,tsù-siā
,注射,宜蘭偏漳腔,注射,tsù-siā
,注射,臺南混合腔,注射,tsù-siā
,注射,高雄混合腔,注射,tsù-siā
,注射,金門偏泉腔,拍針,phah-tsam
,注射,金門偏泉腔,注射,tsù-siā
,注射,馬公偏泉腔,注射,tsù-siā
,注射,新竹偏泉腔,注射,tsù-siā
,注射,臺中偏漳腔,注射,tsù-siā
,艾,鹿港偏泉腔,艾,hiānn
,艾,三峽偏泉腔,艾,hiānn
,艾,臺北偏泉腔,艾,hiānn
,艾,宜蘭偏漳腔,艾,hiānn
,艾,臺南混合腔,艾,hiānn
,艾,臺南混合腔,艾草,hiānn-tsháu
,艾,高雄混合腔,艾,hiānn
,艾,金門偏泉腔,艾,hiānn
,艾,馬公偏泉腔,艾,hiānn
,艾,新竹偏泉腔,艾,hiānn
,艾,臺中偏漳腔,艾,hiānn
,擲筊杯,鹿港偏泉腔,跋桮,pua̍h-pue
,擲筊杯,三峽偏泉腔,跋桮,puā-pue
,擲筊杯,臺北偏泉腔,跋桮,pua̍h-pue
,擲筊杯,宜蘭偏漳腔,跋桮,puā-pue
,擲筊杯,臺南混合腔,跋桮,pua̍h-pue
,擲筊杯,高雄混合腔,跋桮,pua̍h-pue
,擲筊杯,金門偏泉腔,跋桮,pua̍h-pue
,擲筊杯,馬公偏泉腔,跋桮,pua̍h-pue
,擲筊杯,新竹偏泉腔,跋桮,pua̍h-pue
,擲筊杯,臺中偏漳腔,跋桮,pua̍h-pue
,陰筊,鹿港偏泉腔,無桮,bô-pue
,陰筊,三峽偏泉腔,陰桮,im-pue
,陰筊,臺北偏泉腔,陰桮,im-pue
,陰筊,宜蘭偏漳腔,陰桮,im-pue
,陰筊,臺南混合腔,陰桮,im-pue
,陰筊,高雄混合腔,陰桮,im-pue
,陰筊,金門偏泉腔,陰桮,im-pue
,陰筊,馬公偏泉腔,象桮,siūnn-pue
,陰筊,新竹偏泉腔,匼桮,khap-pue
,陰筊,臺中偏漳腔,匼桮,khap-pue
,陰筊,臺中偏漳腔,陰桮,im-pue
,解籤詩,鹿港偏泉腔,逼籤詩,pik-tshiam-si
,解籤詩,三峽偏泉腔,解籤詩,kái-tshiam-si
,解籤詩,臺北偏泉腔,逼籤詩,pik-tshiam-si
,解籤詩,宜蘭偏漳腔,卜籤詩,pok-tshiam-si
,解籤詩,臺南混合腔,逼籤詩,piat-tshiam-si
,解籤詩,高雄混合腔,逼籤詩,pik-tshiam-si
,解籤詩,金門偏泉腔,逼籤詩,piat-tshiam-si
,解籤詩,馬公偏泉腔,逼籤詩,pik-tshiam-si
,解籤詩,新竹偏泉腔,逼籤詩,pik-tshiam-si
,解籤詩,新竹偏泉腔,解籤,kái-tshiam
,解籤詩,臺中偏漳腔,逼籤詩,pik-tshiam-si
,卜卦,鹿港偏泉腔,卜卦,pok-kuà
,卜卦,三峽偏泉腔,卜卦,pok-kuà
,卜卦,臺北偏泉腔,卜卦,pok-kuà
,卜卦,宜蘭偏漳腔,卜卦,pok-kuà
,卜卦,臺南混合腔,卜卦,pok-kuà
,卜卦,高雄混合腔,卜卦,pok-kuà
,卜卦,金門偏泉腔,卜卦,pok-kuà
,卜卦,馬公偏泉腔,跋卦,pua̍h-kuà
,卜卦,新竹偏泉腔,卜卦,pok-kuà
,卜卦,臺中偏漳腔,卜卦,pok-kuà
,廟公,鹿港偏泉腔,廟公,biō-kong
,廟公,三峽偏泉腔,廟公,biō-kong
,廟公,臺北偏泉腔,廟公,biō-kong
,廟公,宜蘭偏漳腔,廟公,biō-kong
,廟公,宜蘭偏漳腔,廟祝,biō-tsiok
,廟公,臺南混合腔,廟公,biōr-kong
,廟公,臺南混合腔,廟祝,biōr-tsiok
,廟公,高雄混合腔,廟公,biō-kong
,廟公,高雄混合腔,廟祝,biō-tsiok
,廟公,金門偏泉腔,廟祝,biō-tsiok
,廟公,馬公偏泉腔,宮公,king-kong
,廟公,新竹偏泉腔,廟公,biō-kong
,廟公,新竹偏泉腔,顧廟的,kòo-biō--ê
,廟公,臺中偏漳腔,廟公,biō-kong
,讀書,鹿港偏泉腔,讀書,tha̍k-tsir
,讀書,三峽偏泉腔,讀書,tha̍k-tsir
,讀書,臺北偏泉腔,讀書,tha̍k-tsu
,讀書,宜蘭偏漳腔,讀冊,tha̍k-tsheh
,讀書,臺南混合腔,讀冊,tha̍k-tsheh
,讀書,高雄混合腔,讀冊,tha̍k-tsheh
,讀書,金門偏泉腔,讀書,tha̍k-tsir
,讀書,馬公偏泉腔,讀書,tha̍k-tsu
,讀書,新竹偏泉腔,讀書,tha̍k-tsir
,讀書,新竹偏泉腔,讀書,tha̍k-tsu
,讀書,臺中偏漳腔,讀冊,tha̍k-tsheh
,墨,鹿港偏泉腔,墨,ba̍k
,墨,三峽偏泉腔,墨,ba̍k
,墨,臺北偏泉腔,墨,ba̍k
,墨,宜蘭偏漳腔,墨,ba̍k
,墨,臺南混合腔,墨,ba̍k
,墨,高雄混合腔,墨,ba̍k
,墨,金門偏泉腔,墨,ba̍k
,墨,馬公偏泉腔,墨,ba̍k
,墨,新竹偏泉腔,墨,ba̍k
,墨,臺中偏漳腔,墨,ba̍k
,墨,臺中偏漳腔,烏墨,oo-ba̍k
,硯台,鹿港偏泉腔,墨盤,ba̍k-puânn
,硯台,三峽偏泉腔,墨盤,ba̍k-puânn
,硯台,臺北偏泉腔,墨盤,ba̍k-puânn
