詞目id,詞目漢字,對應詞目id,對應詞目漢字
,入,,出
,上濟,,上少
,出,,入
,加,,減
,出來,,出去
,生,,熟
,生,,死
,先,,後
,吉兆,,歹吉兆
,奸,,忠
,有,,無
,死,,生
,死,,活
,死,,活
,有力,,無夠力
,成立,,解散
,成物,,毋成物
,有路用,,不中用
,有路用,,無路用
,老師,,學生
,老師,,門生
,西洋,,東洋
,尾,,頭
,私,,公
,忠,,奸
,拍拚,,貧惰
,肥,,瘦
,侮辱,,尊重
,後尾,,代先
,後尾,,頭前
,活,,死
,活,,死亡
,活路,,死路
,苦,,甜
,重,,輕
,家己人,,外人
,茈,,老
,袂,,會
,高,,低
,埠頭,,外埠頭
,清,,濁
,甜,,苦
,眾人,,個人
,貧惰,,拍拚
,貧惰,,骨力
,貧惰,,認真
,善,,惡
,惡,,善
,散賣,,大賣
,減,,加
,無,,有
,無路用,,中用
,無路用,,有路用
,無銷,,有銷
,焦鬆,,湳
,焦鬆,,落湳
,焦鬆,,澹溼
,硬,,軟
,會,,袂
,認真,,貧惰骨
,輕,,重
,瘦,,肥
,學生,,老師
,濁,,清
,頭,,尾
,擲,,抾
,歡喜,,悲哀
,歡喜,,悲傷
,重本,,輕本
,閒身,,無閒人
,宕,,趕
,武車,,文車
,會得過,,袂得過
,會得過,,袂當過
