詞目id,詞目漢字,對應詞目id,對應詞目漢字
,一垺屎,,一礐屎
,一礐屎,,一垺屎
,人面,,人頭
,人倫,,倫理
,人倫,,倫常
,人情世事,,人事
,人情世事,,人情
,人造,,人工
,小丑仔,,丑仔
,三太子,,太子爺
,三太子,,李哪吒
,大同仔,,大粒番薑
,大同仔,,青番薑仔
,也好,,嘛好
,小叔,,細叔
,小叔,,細叔仔
,小叔,,細漢叔仔
,大房,,長房
,久長病,,久病
,久長病,,慢性病
,上帝公,,玄天上帝
,上帝公,,帝爺公
,小鬼仔殼,,假面具
,三除四扣,,七扣八除
,三除四扣,,扣東扣西
,工場,,工廠
,口琴,,喙琴
,山腰,,半山腰
,大跤胴,,腫跤胴
,工廠,,工場
,大廳,,客廳
,大廳,,廳
,大廳,,廳堂
,冗,,櫳
,不止,,毋但
,切手,,郵票
,丑仔,,小丑仔
,中古,,半新舊
,中古,,半舊落仔
,今年,,本年
,不但,,毋但
,公眾,,眾人
,介紹,,紹介
,介紹,,引薦
,介紹,,引進
,分發,,分伻
,分發,,分配
,中傷,,挖空
,中傷,,摔後炮
,中傷,,鑿空
,中醫,,漢醫
,分鐘,,分
,歹𤆬頭,,歹鬼𤆬頭
,天九牌,,章牌
,日子,,日
,日子,,日仔
,孔子公,,孔子
,手巾仔,,手巾
,天井,,天窗
,天井,,深井
,文文仔笑,,微微仔笑
,水仙,,水仙花
,水芋仔,,浮水蓮花
,天狗熱,,骨疼熱
,天狗熱,,登革熱
,毋知死,,毋知死活
,方便,,利便
,方便,,便利
,巴郎,,四破
,巴郎,,瓜魚
,及時,,著時
,手耙,,鐵耙
,欠缺,,乏
,欠缺,,缺欠
,木麻黃,,木麻
,木麻黃,,木麻樹仔
,木麻黃,,麻黃仔
,止喙焦,,止渴
,止喙焦,,生津止渴
,止喙焦,,煞喙焦
,天窗,,天井
,天窗,,深井
,歹勢,,毋好勢
,歹勢,,見笑
,歹話,,歹聽話
,水槽,,水櫃
,水槽,,水槽仔
,水櫃,,水塔
,火災,,火燒
,火災,,火燒厝
,牛喙罨,,牛喙箍
,王祿仔,,王祿仔仙
,乏,,欠
,乏,,欠缺
,仙丹,,靈丹
,主意,,做主
,四破,,巴郎
,四破,,四破魚
,四破,,硬尾仔
,四破,,銅鏡鰺
,可能,,凡勢
,半陰陽仔,,半陰陽
,可惱,,可恨
,叫菜,,點菜
,半節,,半橛
,加薦仔,,加志
,包穡頭,,貿工課
,包穡頭,,貿穡頭
,本人,,親身
,布市仔,,布市
,失算,,失策
,失算,,拍錯桱
,石工,,打石師
,石工,,石匠
,立志,,決志
,生理場,,商場
,白喉,,走馬喉
,皮猴戲,,皮戲
,白菜,,捲心白
,白菜,,包心白仔
,目標,,標準
,申請,,請求
,石磨,,石磨仔
,石磨,,磨仔
,目鏡仁,,鏡仁
,先知,,先覺
,光頭,,芋圓頭
,光頭,,芋顱仔頭
,光頭,,芋顱頭
,先覺,,先知
,吊大筒,,吊大筒射
,名片,,片鴻
,名片,,名刺
,名字,,名姓
,各位,,列位
,各位,,諸位
,在來米,,尖仔米
,合約,,合同
,合約,,契約
,合倚,,合做伙
,名產,,土產
,回魂,,還魂
,合軀,,合身
,圳,,溝
,奸臣,,小人
,地形,,地勢
,多事,,家婆
,如來佛祖,,釋迦牟尼佛
,地理,,風水
,存款,,寄金
,扛,,擔
,扦,,鑿
,死,,死亡
,有一日,,有一工
,死囡仔脯,,死囡仔災
,死囡仔脯,,死囡仔胎
,收束,,收縮
,收束,,縮
,收拾,,修理
,收租,,收稅金
,有聖,,靈感
,有聖,,靈聖
,有聖,,有靈聖
,有路用,,中用
,收據,,收單
,有頭有尾,,有頭尾
,收縮,,收束
,收縮,,縮
,竹,,竹仔
,米𧉟,,米龜
,米𧉟,,米蟲
,竹仔,,竹
,自由,,自在
,自在,,自由
,羊角豆仔,,決明
,羊角豆仔,,草決明
,羊角豆仔,,望江南
,羊角豆仔,,槐豆
,考官,,考試官
,米粉炒,,炒米粉
,米酒頭仔,,米酒頭
,老娼頭,,老娼
,老娼頭,,媌頭
,竹棑,,竹棑仔
,竹棑,,棑仔
,老牌子,,舊標頭
