詞目id,漢字,鹿港偏泉腔,三峽偏泉腔,臺北偏泉腔,宜蘭偏漳腔,臺南混合腔,高雄混合腔,金門偏泉腔,馬公偏泉腔,新竹偏泉腔,臺中偏漳腔
,八,pueh,pueh,pueh,peh,peh,peh,pueh,pueh,pueh,peh
,刀,to,to,to,to,tor,tor,to,to,to,to
,上,tsiǔnn,tsiūnn,tsiūnn,tsiūnn,tsiōnn,tsiūnn,tsiūnn,tsiūnn,tsiūnn,tsiūnn
,上,tshiǔnn,tshiūnn,tshiūnn,tshiūnn,tshiōnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn
,女,lír,lír,lú,lí,lú,lú,lír,lú,"lír,lí",lí
,子,tsír,tsír,tsú,tsú,tsú,tsú,tsír,tsú,tsú,tsú
,巾,kun,kirn,kun,kin,kin,kin,kun,kun,kun,kin
,中,tiong,tiong,tiong,ting,tiong,tiong,tiong,tiong,tiong,tiong
,予,hǒo,hōo,hōo,hōo,hōo,hōo,hōo,hōo,hōo,hōo
,五,gǒo,gōo,gōo,gōo,gōo,gōo,gōo,gōo,gōo,gōo
,井,tsínn,tsínn,tsínn,tsénn,tsénn,tsénn,tsínn,tsínn,tsínn,tsénn
,反,"píng,puínn",píng,píng,píng,píng,píng,páinn,pán,píng,píng
,斤,kun,kirn,kun,kin,kin,kin,kun,kun,kun,kin
,日,li̍t,ji̍t,li̍t,ji̍t,"ji̍t,li̍t",ji̍t,li̍t,ji̍t,"ji̍t,li̍t","ji̍t,gi̍t"
,月,ge̍rh,ge̍rh,ge̍h,gue̍h,gue̍h,gue̍h,ge̍rh,ge̍h,"ge̍rh,ge̍h",gue̍h
,毛,mn̂g,mn̂g,mn̂g,moo,"moo,mn̂g",mn̂g,mn̂g,mn̂g,mn̂g,mn̂g
,火,hér,hér,hé,hué,hué,hué,hér,hé,"hér,hé",hué
,去,khìr,khìr,khù,khì,khì,khì,khìr,khù,"khìr,khì",khì
,可,khónn,khó,khó,khó,khór,khór,khó,khó,khó,khó
,奶,lin,lin,ni,ling,ni,ling,lin,ni,lin,ling
,平,pînn,pînn,pînn,pênn,pênn,pênn,pînn,pînn,pînn,pênn
,未,běr,bēr,bē,"bē,buē",buē,buē,bēr,bē,bēr,buē
,母,bió,bió,"bió,bú",bóo,biór,biór,bió,bió,bió,bió
,汁,tsap,tsap,tsiap,tsiap,tsiap,tsiap,tsap,tsap,tsap,tsiap
,犯,huǎn,huān,huān,huān,huān,huān,huān,huān,huān,huān
,生,tshinn,tshinn,tshinn,tshenn,tshenn,tshenn,tshinn,tshinn,tshinn,tshenn
,生,sinn,sinn,sinn,senn,senn,senn,sinn,sinn,sinn,senn
,皮,phêr,phêr,phê,phuê,phuê,phuê,phêr,phê,"phêr,phê",phuê
,光,kng,kng,kng,kuinn,kng,kng,kng,kng,kng,kng
,刐,,,táinn,,,,táinn,tán
,匠,tshiǔnn,tshiūnn,tshiūnn,tshiūnn,tshiōnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn
,囝,kánn,kánn,kiánn,kiánn,kiánn,kiánn,kiánn,kiánn,kiánn,kiánn
,回,hêr,hêr,hê,huê,huê,huê,hêr,hê,"hêr,hê",huê
,地,"tuě,tuē",terē,tuē,tē,tē,tē,tuē,tuē,tuē,tuē
,好,hó,hó,hó,hó,hór,hór,hó,hó,hó,hó
,字,lǐ,jī,lī,jī,jī,jī,lī,jī,"jī,lī","jī,gī"
,次,tshìr,tshìr,tshù,tshù,tshù,tshù,tshìr,tshù,tshìr,tshù
,羊,iûnn,iûnn,iûnn,iûnn,iônn,iûnn,iûnn,iûnn,iûnn,iûnn
,考,khónn,khó,khó,khó,khór,khór,khó,khó,khó,khó
,耳,hǐ,hī,hī,hīnn,hīnn,hīnn,hī,hī,hī,hīnn
,自,tsǐr,tsīr,tsū,tsū,tsū,tsū,tsīr,tsū,tsīr,tsū
,血,huih,huih,huih,hueh,hueh,hueh,huih,huih,huih,hueh
,佇,tǐr,tīr,tū,tī,tī,tī,tī,tū,tī,tī
,你,lír,lír,lú,lí,lí,lí,lír,lú,"lí,lír",lí
,卵,nňg,nn̄g,nn̄g,nuī,nn̄g,nn̄g,nn̄g,nn̄g,nn̄g,nn̄g
,吠,puǐ,puī,puī,puī,puī,puī,puī,puī,puī,puī
,吹,tsher,tsher,tshe,tshue,tshue,tshue,tsher,tshe,"tsher,tshe",tshue
,坑,khinn,khinn,khinn,khenn,khenn,khenn,khinn,khinn,khinn,khenn
,夾,gueh,gereh,ngeh,ngeh,ngeh,ngeh,ngueh,ngeh,gueh,ngeh
,尾,bér,bér,bé,bué,bué,bué,bér,bé,"bér,bé",bué
,抓,liàu,jiàu,niàu,jiàu,jiàu,jiàu,liàu,jiàu,"liàu,ngiàu","jiàu,giàu"
,更,kinn,kinn,kinn,kenn,kenn,kenn,kinn,kinn,kinn,kenn
,步,pǒo,pōo,pōo,pōo,pōo,pōo,pōo,pōo,pōo,pōo
,災,tser,tser,tse,tse,tse,tse,tser,tse,"tser,tse",tse
,肚,tǒo,tōo,tōo,tōo,tōo,tōo,tōo,tōo,tōo,tōo
,芋,ǒo,ōo,ōo,ōo,ōo,ōo,ōo,ōo,ōo,ōo
,阮,gún,gún,gún,guán,"guán,gún",guán,guán,guán,gún,gún
,事,sǐr,sīr,sū,sū,sū,sū,sīr,sū,sīr,sū
,兩,niú,niú,niú,niú,nióo,niú,niú,niú,niú,niú
,初,tshue,tshere,tshue,tshe,tshe,tshe,tshue,tshue,tshue,tshe
,卷,kńg,kńg,kńg,kuínn,kńg,kńg,kńg,kńg,kńg,kńg
,奇,kha,khia,khia,khia,khia,khia,khia,khia,khia,khia
,妹,běr,bēr,bē,muē,muē,muē,bēr,bē,"bēr,bē",muē
,姓,sìnn,sìnn,sìnn,sènn,sènn,sènn,sìnn,sìnn,sìnn,sènn
,底,tué,teré,tué,té,té,té,tué,tué,tué,té
,庚,kinn,kinn,kinn,kenn,kenn,kenn,kinn,kinn,kinn,kenn
,抱,phǒ,phō,phō,phō,phōr,phōr,phō,phō,phō,phō
,拌,puǎnn,puānn,puānn,puānn,puānn,puānn,puānn,puānn,puānn,puānn
,拔,pue̍h,pue̍h,pui̍h,pue̍h,pue̍h,pue̍h,pui̍h,pue̍h,pui̍h,pue̍h
,河,hô,hô,hô,hô,hôr,hôr,hô,hô,hô,hô
,炊,tsher,tsher,tshe,tshue,tshue,tshue,tsher,tshe,"tsher,tshe",tshue
,爭,tsinn,tsinn,tsinn,tsenn,tsenn,tsenn,tsinn,tsinn,tsinn,tsenn
,羌,kiunn,kiunn,kiunn,kiunn,kionn,kiunn,kiunn,kiunn,kiunn,kiunn
,芟,sng,sing,sing,sing,sing,sing,san,san,sing,sing
,近,"kǔn,kūn",kīrn,kūn,kīn,kīn,kīn,kūn,kūn,kūn,kīn
,迒,hâ,hānn,hānn,hānn,hānn,hānn,hānn,hānn,hānn,hānn
,長,tiúnn,tiúnn,tiúnn,tiúnn,tiónn,tiúnn,tiúnn,tiúnn,tiúnn,tiúnn
,門,mn̂g,mn̂g,mn̂g,muî,mn̂g,mn̂g,mn̂g,mn̂g,mn̂g,mn̂g
,雨,hǒo,hōo,hōo,hōo,hōo,hōo,hōo,hōo,hōo,hōo
,青,tshinn,tshinn,tshinn,tshenn,tshenn,tshenn,tshinn,tshinn,tshinn,tshenn
,保,pó,pó,pó,pó,pór,pór,pó,pó,pó,pó
,剉,tshò,tshò,tshò,tshò,tshòr,tshòr,tshò,tshò,tshò,tshò
,厚,kǎu,kāu,kāu,kāu,kāu,kāu,kāu,kāu,kāu,kāu
,契,khuè,kherè,khuè,khè,khè,khè,khuè,khuè,khuè,khè
,度,tǒo,tōo,tōo,tōo,tōo,tōo,tōo,tōo,tōo,tōo
,星,tshinn,tshinn,tshinn,tshenn,tshenn,tshenn,tshinn,tshinn,tshinn,tshenn
,柄,pìnn,pìnn,pìnn,pènn,pènn,pènn,pìnn,pìnn,pìnn,pènn
,洋,iûnn,iûnn,iûnn,iûnn,iônn,iûnn,iûnn,iûnn,iûnn,iûnn
,洗,sué,seré,sué,sé,sé,sé,sué,sué,sué,sé
,炱,ter,ter,te,te,te,te,ter,te,"ter,te",te
,疥,kuè,kerè,kuè,kè,kè,kè,kuè,kuè,kuè,kè
,相,siùnn,siùnn,siùnn,siùnn,siònn,siùnn,siùnn,siùnn,siùnn,siùnn
,研,nguí,gíng,ngái,gíng,gíng,gíng,ngái,gán,gíng,gíng
,穿,tshǐng,tshīng,tshīng,tshiōng,tshīng,tshīng,tshīng,tshīng,tshīng,tshīng
,穿,tshng,tshng,tshng,tshuinn,tshng,tshng,tshng,tshng,tshng,tshng
,耎,luán,juán,luán,luán,juán,luán,luán,juán,luán,luán
,胚,pher,pher,phe,phue,phue,phue,pher,phe,"pher,phe",phue
,虹,khǐng,khīng,khīng,khīng,khīng,khīng,khīng,khīng,khīng,khīng
,飛,per,per,pe,pue,pue,pue,per,pe,"per,pe",pue
,香,hiunn,hiunn,hiunn,hiunn,hionn,hiunn,hiunn,hiunn,hiunn,hiunn
,倍,pěr,pēr,pē,puē,puē,puē,pēr,pē,"pēr,pē",puē
,倒,tó,tó,tó,tó,tór,tór,tó,tó,tó,tó
,倒,tò,tò,tò,tò,tòr,tòr,tò,tò,tò,tò
,哺,pǒo,pōo,pōo,pōo,pōo,pōo,pōo,pōo,pōo,pōo
,哽,kínn,kínn,kínn,kénn,kénn,kénn,kínn,kínn,,kénn
,娘,niû,niû,niû,niû,niôo,niû,niû,niû,niû,niû
,島,tóo,tóo,tóo,tó,tór,tór,tó,tóo,tóo,tó
,師,sir,sir,su,su,su,su,sir,su,"sir,su",su
,恩,un,irn,un,in,"un,in",un,un,un,un,un
,恩,un,irn,un,in,"un,in",un,un,un,un,un
,挨,ue,ere,ue,e,e,e,ue,ue,ue,e
,挼,lêr,jêr,lê,juê,juê,juê,lêr,jê,"jêr,lêr,lê",juê
,捋,lua̍h,lua̍h,lua̍h,lua̍h,lua̍h,lua̍h,lua̍h,lua̍h,lua̍h,lua̍h
,捏,tīnn,tīnn,tīnn,tēnn,tēnn,tēnn,tīnn,tīnn,tīnn,tēnn
,桃,thô,thô,thô,thô,thôr,thôr,thô,thô,thô,thô
,桌,toh,toh,toh,toh,torh,torh,toh,toh,toh,toh
,狹,ue̍h,ere̍h,ue̍h,e̍h,e̍h,e̍h,ue̍h,ue̍h,ue̍h,e̍h
,病,pǐnn,pīnn,pīnn,pēnn,pēnn,pēnn,pīnn,pīnn,pīnn,pēnn
,索,soh,soh,soh,soh,sorh,sorh,soh,soh,soh,soh
,缺,kherh,kherh,kheh,khueh,khueh,khueh,kherh,kheh,"kherh,kheh",khueh
,脆,tshèr,tshèr,tshè,tshè,tshè,tshè,tshèr,tshè,"tshèr,tshè",tshè
,脈,me̍h,me̍h,me̍h,me̍h,me̍h,me̍h,be̍h,me̍h,be̍h,"me̍h,mē"
,舀,ió,ió,iúnn,iúnn,iónn,iúnn,iúnn,iúnn,ió,iúnn
,草,tshó,tshó,tshó,tshó,tshór,tshór,tshó,tshó,tshó,tshó
,荒,hng,hng,hng,huinn,hng,hng,hng,hng,hng,hng
,討,thó,thó,thó,thó,thór,thór,thó,thó,thó,thó
,退,thèr,thèr,thè,thè,thè,thè,thèr,thè,"thèr,thuè","thè,thuè"
,配,phèr,phèr,phè,phuè,phuè,phuè,phèr,phè,"phèr,phè",phuè
,針,tsam,tsam,tsiam,tsiam,tsiam,tsiam,tsam,tsam,"tsam,tsiam",tsiam
,除,tîr,tîr,tû,tî,tî,tî,tîr,tû,"tîr,tû",tî
,除,tîr,tîr,tû,tî,tî,tî,tîr,tû,"tîr,tû",tî
,做,tsuè,tserè,tsuè,tsò,tsòr,tsòr,tsuè,tsuè,tsuè,tsò
,唱,tshiùnn,tshiùnn,tshiùnn,tshiùnn,"tshiòr,tshiònn",tshiùnn,tshiùnn,tshiùnn,tshiùnn,tshiùnn
,啄,terh,,teh,teh,tok,tok,terh,teh,tok,tok
,問,mňg,mn̄g,mn̄g,muī,mn̄g,mn̄g,mn̄g,mn̄g,mn̄g,mn̄g
,婆,pô,pô,pô,pô,pôr,pôr,pô,pô,pô,pô
,張,tiunn,tiunn,tiunn,tiunn,tionn,tiunn,tiunn,tiunn,tiunn,tiunn
,捥,ńg,ńg,ńg,uínn,ńg,ńg,áinn,"áinn,ńg",ńg,ńg
,捲,kńg,kńg,kńg,kuínn,kńg,kńg,kńg,kńg,kńg,kńg
,推,ther,ther,the,the,the,the,ther,the,"ther,the",the
,掩,ng,ng,ng,uinn,ng,ng,ng,ng,ng,ng
,旋,tsňg,tsn̄g,tsn̄g,tsuīnn,tsn̄g,tsn̄g,tsn̄g,tsn̄g,tsn̄g,tsn̄g
,梅,m̂,m̂,m̂,buê,muâi,muê,m̂,m̂,"m̂,muî","muê,buê"
,欲,berh,berh,beh,bueh,beh,beh,berh,boh,beh,beh
,清,tshuinn,tshinn,tshinn,tshing,tshing,tshing,tshinn,tshinn,tshinn,tshing
,犁,luê,lerê,luê,lê,lê,lê,luê,luê,luê,lê
,章,tsiunn,tsiunn,tsiunn,tsiunn,tsionn,tsiunn,tsiunn,tsiunn,tsiunn,tsiunn
,笠,lue̍h,lere̍h,lue̍h,le̍h,le̍h,le̍h,lue̍h,lue̍h,lue̍h,le̍h
,粕,phoh,phoh,phoh,phoh,phorh,phorh,phoh,phoh,phoh,phoh
,細,suè,serè,suè,sè,sè,sè,suè,suè,suè,sè
,莢,gueh,gereh,kueh,ngeh,ngeh,ngeh,ngueh,kueh,ngueh,ngeh
,蚵,ô,ô,ô,ô,ôr,ôr,ô,ô,ô,ô
,蛆,tshir,tshir,tshu,tshi,tshu,tshi,tshir,tshu,tshir,tshi
,袋,těr,tēr,tē,tē,tē,tē,tēr,tē,"tēr,tē",tē
,被,phēr,phēr,phē,phuē,phuē,phuē,phēr,phē,"phēr,phē",phuē
,貨,hèr,hèr,hè,huè,huè,huè,hèr,hè,"hèr,hè",huè
,貫,kǹg,kǹg,kǹg,kuìnn,kǹg,kǹg,kǹg,kǹg,kǹg,kǹg
,跂,kér,kér,ké,kué,kué,kué,kér,ké,"kér,ké",kué
,軟,nńg,nńg,nńg,nuí,nńg,nńg,nńg,nńg,nńg,nńg
,逐,lip,jip,lip,jik,jiok,jiok,tsip,jiok,lip,giok
,雪,serh,serh,seh,seh,seh,seh,serh,seh,"serh,seh",seh
,魚,hîr,hîr,hû,hî,hî,hî,hîr,hû,"hîr,hî",hî
,報,pò,pò,pò,pò,pòr,pòr,pò,pò,pò,pò
,場,tiûnn,tiûnn,tiûnn,tiûnn,tiônn,tiûnn,tiûnn,tiûnn,tiûnn,tiûnn
,帽,bō,bō,bō,bō,bōr,bōr,bō,bō,bō,bō
,掌,tsiúnn,tsiúnn,tsiúnn,tsiúnn,tsiónn,tsiúnn,tsiúnn,tsiúnn,tsiúnn,tsiúnn
,掰,pér,pér,pé,pué,pué,pué,pér,pé,"pér,pé",pué
,揣,tshěr,tshēr,tshē,tshuē,tshuē,tshuē,tshěr,tshē,"tshēr,tshē",tshuē
